feature,fscore
BREAKFAITH_DELTA,1.63193367822e-05
right_20_feat,3.26386735643e-05
case_rate,3.26386735643e-05
right_30,6.52773471286e-05
PROJECT_0_RATE,6.52773471286e-05
right_11_feat,6.52773471286e-05
BTNUM,8.15966839108e-05
BREAKFAITH_NOTEND_RATE_feat,9.79160206929e-05
DATE_0_RATE,0.000114235357475
BREAKFAITH_END_NUM,0.000130554694257
DATE_NUM,0.000130554694257
DATE_1_NUM,0.000130554694257
DATE_MAX_feat,0.000146874031039
branch_ratio_feat_y,0.000146874031039
DATE_1_RATE,0.000212151378168
branch_end_num_y,0.000277428725297
right_50_feat,0.000277428725297
DATE_MIN_feat,0.000277428725297
PROJECT_1_RATE,0.000342706072425
27,0.00037534474599
BREAKFAITH_NOTEND_RATE,0.00037534474599
branch_start_num_y,0.000391664082772
14,0.000407983419554
DATE_0_NUM,0.000407983419554
BREAKFAITH_MIN,0.0004569414299
no_label_num,0.000505899440247
right_20,0.000522218777029
PROJECT_0_NUM,0.000554857450593
right_12,0.000620134797722
branch_on_num_y,0.000636454134504
first_branch_y,0.000652773471286
last_branch_y,0.00068541214485
DATE_DELTA,0.000734370155197
invest_ratio_feat,0.000734370155197
BT_end_nums,0.000848605512672
PROJECT_1_NUM,0.000930202196583
right_60_feat,0.000962840870147
right_40_feat,0.000995479543711
BREAKFAITH_NUM,0.000995479543711
NOTHOME,0.000995479543711
TZINUM,0.00107707622762
home_num_y,0.00114235357475
BREAKFAITH_MAX,0.00115867291153
branch_ratio_y,0.00124026959544
branch_end_num_x,0.0013708242897
case_duration,0.00140346296327
branch_ratio_feat_x,0.00140346296327
case_mean_duration,0.00143610163683
right_50,0.00148505964718
RECR_AVE_TIME,0.00151769832074
start_duration_y,0.0015503369943
99,0.00163193367822
DATE_MAX,0.00163193367822
last_branch_x,0.00181144638282
invest_num,0.00181144638282
BREAKFAITH_NOTEND_NUM,0.00192568174029
branch_start_num_x,0.00202359776099
RECR_CNT,0.00203991709777
invest_ratio,0.00221942980237
DATE_MIN,0.00233366515985
first_branch_x,0.00244790051732
T_home_num,0.00279060658975
on_time_y,0.00280692592653
right_11,0.00288852261044
04,0.00295379995757
PROJECT_NUM,0.00295379995757
branch_on_num_x,0.00310067398861
fb_rate_feat,0.00314963199896
home_num_x,0.00323122868287
case_num,0.00342706072425
label_case_num,0.0036555314392
05,0.00417775021623
T_time_min,0.00440622093118
RECR_MAX_CODE_NUM,0.00458573363579
start_duration_x,0.00461837230935
af27,0.00465101098291
10,0.00468364965648
on_branch,0.00489580103465
ALTDATENUM,0.00532010379098
A_015,0.0054832971588
min_lawamount,0.00551593583237
T_time_max,0.00563017118984
branch_ratio_x,0.00574440654732
ON_YEAR_feat,0.00595655792549
02,0.00605447394618
RECR_TOT_NUM,0.00611975129331
mean_lawamount,0.00620134797722
T_time_mean,0.00625030598756
BTBL_mean,0.0063971800186
FBNUM,0.00646245736573
BTBL_max,0.00659301205999
max_lawamount,0.00659301205999
01,0.00662565073355
ASKNUM,0.00687044078529
BTBL_min,0.00704995348989
right_60,0.00757217226692
on_time_x,0.00798015568647
right_40,0.00863292915776
RECR_MIN_NUM,0.00871452584167
RECR_MAX_NUM,0.00874716451523
03,0.00902459324053
alter_duration,0.00966104737503
12,0.0101832661521
RGYEAR_14,0.0120273512084
fb_rate,0.0121252672291
INUM,0.0125985279958
right_mean duration,0.0140509489694
right_duration,0.0151117058603
fb_freq,0.0177717577558
FINZB,0.0185550859213
alter_mean_duration,0.0186040439317
hy_zc_min,0.0187019599523
ask_freq,0.0193057754133
first_ask_duration,0.0196158428121
ALTRATE,0.0252949720123
ALTNUM,0.026143577525
af05,0.0263067708928
ZCZB_20,0.0277755112032
ALTER_MAX,0.0293748062079
ETYPE,0.0294237642182
hy_zc_mean,0.032883463616
hy_zc_max,0.0334056823931
ALTER_MIN,0.0354455994908
HY_NUM,0.0379587773553
HY,0.0401782071577
FSTINUM,0.0468528159016
ON_YEAR,0.0640370775332
ZCZB_20_1,0.0769946309382
